artist,song_name,features
Blondie,Sunday Girl,"{'danceability': 0.641, 'energy': 0.531, 'key': 9, 'loudness': -13.691, 'mode': 1, 'speechiness': 0.0496, 'acousticness': 0.0256, 'instrumentalness': 0.000248, 'liveness': 0.178, 'valence': 0.846, 'tempo': 145.886, 'type': 'audio_features', 'id': '23yv078f5kc08Kj6DMpO0t', 'uri': 'spotify:track:23yv078f5kc08Kj6DMpO0t', 'track_href': 'https://api.spotify.com/v1/tracks/23yv078f5kc08Kj6DMpO0t', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/23yv078f5kc08Kj6DMpO0t', 'duration_ms': 185067, 'time_signature': 4}"
Grizzly Bear,Two Weeks,"{'danceability': 0.537, 'energy': 0.712, 'key': 5, 'loudness': -5.597, 'mode': 1, 'speechiness': 0.0286, 'acousticness': 0.289, 'instrumentalness': 0.00568, 'liveness': 0.08, 'valence': 0.704, 'tempo': 159.871, 'type': 'audio_features', 'id': '0iTpQYzJnYgh7kIxyq8A2O', 'uri': 'spotify:track:0iTpQYzJnYgh7kIxyq8A2O', 'track_href': 'https://api.spotify.com/v1/tracks/0iTpQYzJnYgh7kIxyq8A2O', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0iTpQYzJnYgh7kIxyq8A2O', 'duration_ms': 243160, 'time_signature': 4}"
Mark Ronson,Somebody to Love Me,"{'danceability': 0.694, 'energy': 0.853, 'key': 6, 'loudness': -4.755, 'mode': 0, 'speechiness': 0.0415, 'acousticness': 0.107, 'instrumentalness': 1.63e-06, 'liveness': 0.225, 'valence': 0.566, 'tempo': 117.896, 'type': 'audio_features', 'id': '2Tky1eOpdLXo8yYawnTMcj', 'uri': 'spotify:track:2Tky1eOpdLXo8yYawnTMcj', 'track_href': 'https://api.spotify.com/v1/tracks/2Tky1eOpdLXo8yYawnTMcj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2Tky1eOpdLXo8yYawnTMcj', 'duration_ms': 297933, 'time_signature': 4}"
Edgar de l'Est,AH LA LA,"{'danceability': 0.829, 'energy': 0.353, 'key': 9, 'loudness': -10.409, 'mode': 1, 'speechiness': 0.246, 'acousticness': 0.605, 'instrumentalness': 2.44e-05, 'liveness': 0.124, 'valence': 0.897, 'tempo': 134.979, 'type': 'audio_features', 'id': '0JBUms0CMKVARibROy8x7N', 'uri': 'spotify:track:0JBUms0CMKVARibROy8x7N', 'track_href': 'https://api.spotify.com/v1/tracks/0JBUms0CMKVARibROy8x7N', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0JBUms0CMKVARibROy8x7N', 'duration_ms': 234227, 'time_signature': 4}"
Merry Clayton,Gimme Shelter,"{'danceability': 0.584, 'energy': 0.821, 'key': 7, 'loudness': -9.016, 'mode': 0, 'speechiness': 0.0468, 'acousticness': 0.329, 'instrumentalness': 0.000282, 'liveness': 0.565, 'valence': 0.646, 'tempo': 117.619, 'type': 'audio_features', 'id': '318Vrl9zzFT7zT8BYKNhgP', 'uri': 'spotify:track:318Vrl9zzFT7zT8BYKNhgP', 'track_href': 'https://api.spotify.com/v1/tracks/318Vrl9zzFT7zT8BYKNhgP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/318Vrl9zzFT7zT8BYKNhgP', 'duration_ms': 211293, 'time_signature': 4}"
Tim Knol,Sam,"{'danceability': 0.563, 'energy': 0.146, 'key': 3, 'loudness': -14.421, 'mode': 0, 'speechiness': 0.0408, 'acousticness': 0.894, 'instrumentalness': 1.6e-05, 'liveness': 0.111, 'valence': 0.268, 'tempo': 133.115, 'type': 'audio_features', 'id': '1jajG9Yo6m71VEpXx3uRzT', 'uri': 'spotify:track:1jajG9Yo6m71VEpXx3uRzT', 'track_href': 'https://api.spotify.com/v1/tracks/1jajG9Yo6m71VEpXx3uRzT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1jajG9Yo6m71VEpXx3uRzT', 'duration_ms': 233333, 'time_signature': 4}"
Amy Winehouse,Intro / Stronger Than Me,"{'danceability': 0.875, 'energy': 0.481, 'key': 9, 'loudness': -5.088, 'mode': 0, 'speechiness': 0.0451, 'acousticness': 0.0574, 'instrumentalness': 0.000453, 'liveness': 0.0916, 'valence': 0.716, 'tempo': 91.474, 'type': 'audio_features', 'id': '2pkKNXOwwEc8qgeQRtg6IJ', 'uri': 'spotify:track:2pkKNXOwwEc8qgeQRtg6IJ', 'track_href': 'https://api.spotify.com/v1/tracks/2pkKNXOwwEc8qgeQRtg6IJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2pkKNXOwwEc8qgeQRtg6IJ', 'duration_ms': 234107, 'time_signature': 4}"
Robert Johnson,I'm a Steady Rollin' Man,"{'danceability': 0.681, 'energy': 0.193, 'key': 2, 'loudness': -15.254, 'mode': 1, 'speechiness': 0.0581, 'acousticness': 0.982, 'instrumentalness': 0.00522, 'liveness': 0.128, 'valence': 0.638, 'tempo': 101.924, 'type': 'audio_features', 'id': '5yxmp7HffmzRsrklr8xyrV', 'uri': 'spotify:track:5yxmp7HffmzRsrklr8xyrV', 'track_href': 'https://api.spotify.com/v1/tracks/5yxmp7HffmzRsrklr8xyrV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5yxmp7HffmzRsrklr8xyrV', 'duration_ms': 156240, 'time_signature': 4}"
Darlyn,I Think We're Alone Now,"{'danceability': 0.513, 'energy': 0.083, 'key': 0, 'loudness': -13.451, 'mode': 1, 'speechiness': 0.0454, 'acousticness': 0.893, 'instrumentalness': 0, 'liveness': 0.115, 'valence': 0.28, 'tempo': 119.585, 'type': 'audio_features', 'id': '0zEjqBMZNkUFCDUmuYoGxO', 'uri': 'spotify:track:0zEjqBMZNkUFCDUmuYoGxO', 'track_href': 'https://api.spotify.com/v1/tracks/0zEjqBMZNkUFCDUmuYoGxO', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0zEjqBMZNkUFCDUmuYoGxO', 'duration_ms': 169842, 'time_signature': 4}"
Eskorzo Afrobeat Experience,El Muro,"{'danceability': 0.618, 'energy': 0.894, 'key': 0, 'loudness': -8.703, 'mode': 1, 'speechiness': 0.0327, 'acousticness': 0.0536, 'instrumentalness': 0.577, 'liveness': 0.0611, 'valence': 0.91, 'tempo': 96.991, 'type': 'audio_features', 'id': '2mu6r9KaIxj2CRrIcJTm0b', 'uri': 'spotify:track:2mu6r9KaIxj2CRrIcJTm0b', 'track_href': 'https://api.spotify.com/v1/tracks/2mu6r9KaIxj2CRrIcJTm0b', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2mu6r9KaIxj2CRrIcJTm0b', 'duration_ms': 468143, 'time_signature': 4}"
Israel Vibration,Rudeboy Shufflin,"{'danceability': 0.885, 'energy': 0.482, 'key': 5, 'loudness': -11.874, 'mode': 0, 'speechiness': 0.204, 'acousticness': 0.0127, 'instrumentalness': 0, 'liveness': 0.0916, 'valence': 0.946, 'tempo': 137.425, 'type': 'audio_features', 'id': '6nKvpwVXvwqWHYkv8W8v5g', 'uri': 'spotify:track:6nKvpwVXvwqWHYkv8W8v5g', 'track_href': 'https://api.spotify.com/v1/tracks/6nKvpwVXvwqWHYkv8W8v5g', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6nKvpwVXvwqWHYkv8W8v5g', 'duration_ms': 285667, 'time_signature': 4}"
Britta Persson,Big In Japan,"{'danceability': 0.73, 'energy': 0.427, 'key': 6, 'loudness': -6.702, 'mode': 0, 'speechiness': 0.0308, 'acousticness': 0.285, 'instrumentalness': 0, 'liveness': 0.11, 'valence': 0.2, 'tempo': 100.16, 'type': 'audio_features', 'id': '4TFjClZKae5hkuegAzfKPC', 'uri': 'spotify:track:4TFjClZKae5hkuegAzfKPC', 'track_href': 'https://api.spotify.com/v1/tracks/4TFjClZKae5hkuegAzfKPC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4TFjClZKae5hkuegAzfKPC', 'duration_ms': 226554, 'time_signature': 4}"
