artist,song_name,features
Dr. John,Such a Night,"{'danceability': 0.829, 'energy': 0.248, 'key': 5, 'loudness': -16.94, 'mode': 1, 'speechiness': 0.169, 'acousticness': 0.531, 'instrumentalness': 0, 'liveness': 0.0732, 'valence': 0.786, 'tempo': 121.444, 'type': 'audio_features', 'id': '3GppcLIGlSlvujXgR0pPRt', 'uri': 'spotify:track:3GppcLIGlSlvujXgR0pPRt', 'track_href': 'https://api.spotify.com/v1/tracks/3GppcLIGlSlvujXgR0pPRt', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3GppcLIGlSlvujXgR0pPRt', 'duration_ms': 177733, 'time_signature': 4}"
Peter Bjorn and John,Nothing To Worry About,"{'danceability': 0.713, 'energy': 0.623, 'key': 0, 'loudness': -6.714, 'mode': 1, 'speechiness': 0.129, 'acousticness': 0.192, 'instrumentalness': 0, 'liveness': 0.0607, 'valence': 0.566, 'tempo': 95.1, 'type': 'audio_features', 'id': '4qaXgj5TezCSCZD6tnGNp0', 'uri': 'spotify:track:4qaXgj5TezCSCZD6tnGNp0', 'track_href': 'https://api.spotify.com/v1/tracks/4qaXgj5TezCSCZD6tnGNp0', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4qaXgj5TezCSCZD6tnGNp0', 'duration_ms': 178360, 'time_signature': 4}"
Hot Chip,Thieves In The Night,"{'danceability': 0.628, 'energy': 0.719, 'key': 8, 'loudness': -5.443, 'mode': 1, 'speechiness': 0.041, 'acousticness': 0.0138, 'instrumentalness': 0.0951, 'liveness': 0.206, 'valence': 0.371, 'tempo': 134.071, 'type': 'audio_features', 'id': '42G8Aqqv0sKApmItJvJ8dx', 'uri': 'spotify:track:42G8Aqqv0sKApmItJvJ8dx', 'track_href': 'https://api.spotify.com/v1/tracks/42G8Aqqv0sKApmItJvJ8dx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/42G8Aqqv0sKApmItJvJ8dx', 'duration_ms': 368277, 'time_signature': 4}"
Pretty Lights,Finally Moving,"{'danceability': 0.735, 'energy': 0.555, 'key': 1, 'loudness': -8.84, 'mode': 0, 'speechiness': 0.0366, 'acousticness': 0.382, 'instrumentalness': 0.856, 'liveness': 0.0952, 'valence': 0.523, 'tempo': 100.01, 'type': 'audio_features', 'id': '3WS7spXVlbeC5kjePmHMQW', 'uri': 'spotify:track:3WS7spXVlbeC5kjePmHMQW', 'track_href': 'https://api.spotify.com/v1/tracks/3WS7spXVlbeC5kjePmHMQW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3WS7spXVlbeC5kjePmHMQW', 'duration_ms': 277975, 'time_signature': 4}"
Johnny Cash,Folsom Prison Blues,"{'danceability': 0.594, 'energy': 0.676, 'key': 5, 'loudness': -9.552, 'mode': 1, 'speechiness': 0.0528, 'acousticness': 0.0267, 'instrumentalness': 0.00541, 'liveness': 0.905, 'valence': 0.898, 'tempo': 110.71, 'type': 'audio_features', 'id': '5O6mz4qn6q7MSKubAzRnDW', 'uri': 'spotify:track:5O6mz4qn6q7MSKubAzRnDW', 'track_href': 'https://api.spotify.com/v1/tracks/5O6mz4qn6q7MSKubAzRnDW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5O6mz4qn6q7MSKubAzRnDW', 'duration_ms': 162907, 'time_signature': 4}"
YACHT,Plastic Soul,"{'danceability': 0.639, 'energy': 0.452, 'key': 7, 'loudness': -7.199, 'mode': 1, 'speechiness': 0.0324, 'acousticness': 0.00258, 'instrumentalness': 0.00153, 'liveness': 0.0473, 'valence': 0.487, 'tempo': 100.019, 'type': 'audio_features', 'id': '43p0RNDfD6lSnHrQJUeffT', 'uri': 'spotify:track:43p0RNDfD6lSnHrQJUeffT', 'track_href': 'https://api.spotify.com/v1/tracks/43p0RNDfD6lSnHrQJUeffT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/43p0RNDfD6lSnHrQJUeffT', 'duration_ms': 221946, 'time_signature': 4}"
Susan Tedeschi,Wait For Me,"{'danceability': 0.401, 'energy': 0.534, 'key': 7, 'loudness': -6.576, 'mode': 1, 'speechiness': 0.0524, 'acousticness': 0.59, 'instrumentalness': 7.41e-05, 'liveness': 0.981, 'valence': 0.396, 'tempo': 80.718, 'type': 'audio_features', 'id': '1l3bkDAw1rxeGrPweih1jh', 'uri': 'spotify:track:1l3bkDAw1rxeGrPweih1jh', 'track_href': 'https://api.spotify.com/v1/tracks/1l3bkDAw1rxeGrPweih1jh', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1l3bkDAw1rxeGrPweih1jh', 'duration_ms': 358933, 'time_signature': 4}"
Sly Stone,I Get High On You,"{'danceability': 0.537, 'energy': 0.874, 'key': 5, 'loudness': -9.656, 'mode': 1, 'speechiness': 0.0704, 'acousticness': 0.186, 'instrumentalness': 0.00115, 'liveness': 0.405, 'valence': 0.615, 'tempo': 97.381, 'type': 'audio_features', 'id': '0DKvBAgkajew9Mi2ZMZRXo', 'uri': 'spotify:track:0DKvBAgkajew9Mi2ZMZRXo', 'track_href': 'https://api.spotify.com/v1/tracks/0DKvBAgkajew9Mi2ZMZRXo', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0DKvBAgkajew9Mi2ZMZRXo', 'duration_ms': 193000, 'time_signature': 4}"
Fabiana Dammers,Roundabout Town,"{'danceability': 0.404, 'energy': 0.763, 'key': 10, 'loudness': -5.071, 'mode': 1, 'speechiness': 0.0346, 'acousticness': 0.419, 'instrumentalness': 0, 'liveness': 0.129, 'valence': 0.699, 'tempo': 184.012, 'type': 'audio_features', 'id': '56ga742AkJ7eL8sVZFWaag', 'uri': 'spotify:track:56ga742AkJ7eL8sVZFWaag', 'track_href': 'https://api.spotify.com/v1/tracks/56ga742AkJ7eL8sVZFWaag', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/56ga742AkJ7eL8sVZFWaag', 'duration_ms': 225960, 'time_signature': 4}"
Nina Simone,My Baby Just Cares for Me,"{'danceability': 0.757, 'energy': 0.256, 'key': 11, 'loudness': -16.435, 'mode': 0, 'speechiness': 0.101, 'acousticness': 0.963, 'instrumentalness': 0.11, 'liveness': 0.107, 'valence': 0.538, 'tempo': 117.462, 'type': 'audio_features', 'id': '3Iizl7lLyHn0uWS64BOacY', 'uri': 'spotify:track:3Iizl7lLyHn0uWS64BOacY', 'track_href': 'https://api.spotify.com/v1/tracks/3Iizl7lLyHn0uWS64BOacY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3Iizl7lLyHn0uWS64BOacY', 'duration_ms': 218291, 'time_signature': 4}"
Jenny Owen Youngs,Hot In Herre,"{'danceability': 0.623, 'energy': 0.553, 'key': 7, 'loudness': -7.441, 'mode': 1, 'speechiness': 0.0252, 'acousticness': 0.581, 'instrumentalness': 1.44e-06, 'liveness': 0.0725, 'valence': 0.752, 'tempo': 87.992, 'type': 'audio_features', 'id': '2juY7nhQdfhhc4UHOOq2jq', 'uri': 'spotify:track:2juY7nhQdfhhc4UHOOq2jq', 'track_href': 'https://api.spotify.com/v1/tracks/2juY7nhQdfhhc4UHOOq2jq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2juY7nhQdfhhc4UHOOq2jq', 'duration_ms': 256120, 'time_signature': 4}"
Shivaree,Goodnight Moon,"{'danceability': 0.743, 'energy': 0.674, 'key': 2, 'loudness': -7.683, 'mode': 1, 'speechiness': 0.0323, 'acousticness': 0.361, 'instrumentalness': 8.93e-05, 'liveness': 0.0696, 'valence': 0.829, 'tempo': 112.906, 'type': 'audio_features', 'id': '5jQPDVjgSGnNYl8G3H3qul', 'uri': 'spotify:track:5jQPDVjgSGnNYl8G3H3qul', 'track_href': 'https://api.spotify.com/v1/tracks/5jQPDVjgSGnNYl8G3H3qul', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5jQPDVjgSGnNYl8G3H3qul', 'duration_ms': 243777, 'time_signature': 4}"
Rory Gallagher,20:20 Vision - Remastered 2011,"{'danceability': 0.646, 'energy': 0.474, 'key': 2, 'loudness': -11.186, 'mode': 1, 'speechiness': 0.0483, 'acousticness': 0.341, 'instrumentalness': 0.000213, 'liveness': 0.1, 'valence': 0.67, 'tempo': 127.82, 'type': 'audio_features', 'id': '77ku3NBquiW8kJIu2Ldz2m', 'uri': 'spotify:track:77ku3NBquiW8kJIu2Ldz2m', 'track_href': 'https://api.spotify.com/v1/tracks/77ku3NBquiW8kJIu2Ldz2m', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/77ku3NBquiW8kJIu2Ldz2m', 'duration_ms': 241413, 'time_signature': 4}"
Eugene McGuinness,Shotgun,"{'danceability': 0.602, 'energy': 0.797, 'key': 5, 'loudness': -6.706, 'mode': 0, 'speechiness': 0.031, 'acousticness': 0.00582, 'instrumentalness': 0, 'liveness': 0.107, 'valence': 0.808, 'tempo': 124.923, 'type': 'audio_features', 'id': '46rPGnMRUK2MN1jdhZipic', 'uri': 'spotify:track:46rPGnMRUK2MN1jdhZipic', 'track_href': 'https://api.spotify.com/v1/tracks/46rPGnMRUK2MN1jdhZipic', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/46rPGnMRUK2MN1jdhZipic', 'duration_ms': 212000, 'time_signature': 4}"
Chico Mann,Estan Llamando,"{'danceability': 0.881, 'energy': 0.761, 'key': 11, 'loudness': -6.295, 'mode': 0, 'speechiness': 0.0324, 'acousticness': 0.0884, 'instrumentalness': 0.682, 'liveness': 0.0759, 'valence': 0.97, 'tempo': 119.982, 'type': 'audio_features', 'id': '3F1VXvS7N6Jy0RN09WdBKw', 'uri': 'spotify:track:3F1VXvS7N6Jy0RN09WdBKw', 'track_href': 'https://api.spotify.com/v1/tracks/3F1VXvS7N6Jy0RN09WdBKw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3F1VXvS7N6Jy0RN09WdBKw', 'duration_ms': 254160, 'time_signature': 4}"
Bob Moses,Hands To Hold - Original Mix,"{'danceability': 0.864, 'energy': 0.555, 'key': 4, 'loudness': -9.904, 'mode': 0, 'speechiness': 0.104, 'acousticness': 0.0539, 'instrumentalness': 0.698, 'liveness': 0.0695, 'valence': 0.306, 'tempo': 113.002, 'type': 'audio_features', 'id': '67bEWV1fH73M4Utu4Z13Kp', 'uri': 'spotify:track:67bEWV1fH73M4Utu4Z13Kp', 'track_href': 'https://api.spotify.com/v1/tracks/67bEWV1fH73M4Utu4Z13Kp', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/67bEWV1fH73M4Utu4Z13Kp', 'duration_ms': 454513, 'time_signature': 4}"
Go Back To The Zoo,Electric,"{'danceability': 0.562, 'energy': 0.806, 'key': 11, 'loudness': -4.588, 'mode': 1, 'speechiness': 0.0484, 'acousticness': 0.0643, 'instrumentalness': 6.05e-06, 'liveness': 0.233, 'valence': 0.523, 'tempo': 127.993, 'type': 'audio_features', 'id': '0ErHM0nECzE60Jnt0NMeXy', 'uri': 'spotify:track:0ErHM0nECzE60Jnt0NMeXy', 'track_href': 'https://api.spotify.com/v1/tracks/0ErHM0nECzE60Jnt0NMeXy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0ErHM0nECzE60Jnt0NMeXy', 'duration_ms': 188080, 'time_signature': 4}"
Monsters Of Folk,Man Named Truth,"{'danceability': 0.526, 'energy': 0.91, 'key': 2, 'loudness': -5.118, 'mode': 0, 'speechiness': 0.0329, 'acousticness': 0.542, 'instrumentalness': 0.00197, 'liveness': 0.521, 'valence': 0.909, 'tempo': 95.451, 'type': 'audio_features', 'id': '2kIUsdizVjgQfGHvJTZtY5', 'uri': 'spotify:track:2kIUsdizVjgQfGHvJTZtY5', 'track_href': 'https://api.spotify.com/v1/tracks/2kIUsdizVjgQfGHvJTZtY5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2kIUsdizVjgQfGHvJTZtY5', 'duration_ms': 231880, 'time_signature': 4}"
Lefties Soul Connection,Funky Chick,"{'danceability': 0.466, 'energy': 0.927, 'key': 9, 'loudness': -5.146, 'mode': 0, 'speechiness': 0.0375, 'acousticness': 0.042, 'instrumentalness': 0.792, 'liveness': 0.0364, 'valence': 0.976, 'tempo': 178.703, 'type': 'audio_features', 'id': '1OJlJ1gEfx2dSlr59iWMAA', 'uri': 'spotify:track:1OJlJ1gEfx2dSlr59iWMAA', 'track_href': 'https://api.spotify.com/v1/tracks/1OJlJ1gEfx2dSlr59iWMAA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1OJlJ1gEfx2dSlr59iWMAA', 'duration_ms': 211440, 'time_signature': 4}"
Wyclef Jean,Wish You Were Here,"{'danceability': 0.736, 'energy': 0.563, 'key': 7, 'loudness': -9.779, 'mode': 1, 'speechiness': 0.0704, 'acousticness': 0.0366, 'instrumentalness': 0.0094, 'liveness': 0.13, 'valence': 0.542, 'tempo': 87.986, 'type': 'audio_features', 'id': '1PCBv0e6guRL2JvvAgXlcJ', 'uri': 'spotify:track:1PCBv0e6guRL2JvvAgXlcJ', 'track_href': 'https://api.spotify.com/v1/tracks/1PCBv0e6guRL2JvvAgXlcJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1PCBv0e6guRL2JvvAgXlcJ', 'duration_ms': 245453, 'time_signature': 4}"
Cloud Nothings,Stay Useless,"{'danceability': 0.226, 'energy': 0.926, 'key': 8, 'loudness': -5.749, 'mode': 1, 'speechiness': 0.0817, 'acousticness': 0.00589, 'instrumentalness': 2.5e-05, 'liveness': 0.296, 'valence': 0.59, 'tempo': 168.713, 'type': 'audio_features', 'id': '34PLpJWhWw4IFFAd2PWgo5', 'uri': 'spotify:track:34PLpJWhWw4IFFAd2PWgo5', 'track_href': 'https://api.spotify.com/v1/tracks/34PLpJWhWw4IFFAd2PWgo5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/34PLpJWhWw4IFFAd2PWgo5', 'duration_ms': 166800, 'time_signature': 4}"
The Mary Onettes,Hit the Waves,"{'danceability': 0.539, 'energy': 0.897, 'key': 0, 'loudness': -5.337, 'mode': 1, 'speechiness': 0.0314, 'acousticness': 0.0136, 'instrumentalness': 0.0027, 'liveness': 0.358, 'valence': 0.443, 'tempo': 98.007, 'type': 'audio_features', 'id': '0SilRhksdfJMKVITSJOxIo', 'uri': 'spotify:track:0SilRhksdfJMKVITSJOxIo', 'track_href': 'https://api.spotify.com/v1/tracks/0SilRhksdfJMKVITSJOxIo', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0SilRhksdfJMKVITSJOxIo', 'duration_ms': 256813, 'time_signature': 4}"
Amy Winehouse,Our Day Will Come,"{'danceability': 0.701, 'energy': 0.66, 'key': 5, 'loudness': -6.075, 'mode': 0, 'speechiness': 0.0303, 'acousticness': 0.0489, 'instrumentalness': 2.84e-05, 'liveness': 0.354, 'valence': 0.601, 'tempo': 98.003, 'type': 'audio_features', 'id': '2Arl7cRrFiuDiHQjdMEXOU', 'uri': 'spotify:track:2Arl7cRrFiuDiHQjdMEXOU', 'track_href': 'https://api.spotify.com/v1/tracks/2Arl7cRrFiuDiHQjdMEXOU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2Arl7cRrFiuDiHQjdMEXOU', 'duration_ms': 169373, 'time_signature': 4}"
Chinese Man,One Past - OBF Remix,"{'danceability': 0.786, 'energy': 0.906, 'key': 9, 'loudness': -8.266, 'mode': 0, 'speechiness': 0.0398, 'acousticness': 0.0286, 'instrumentalness': 0.704, 'liveness': 0.471, 'valence': 0.823, 'tempo': 132.017, 'type': 'audio_features', 'id': '0TrkWE0Lj5hSftkPGfmppy', 'uri': 'spotify:track:0TrkWE0Lj5hSftkPGfmppy', 'track_href': 'https://api.spotify.com/v1/tracks/0TrkWE0Lj5hSftkPGfmppy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0TrkWE0Lj5hSftkPGfmppy', 'duration_ms': 262801, 'time_signature': 4}"
Joggo,Take It Slow (Ferro+Chrome Mix),"{'danceability': 0.688, 'energy': 0.797, 'key': 0, 'loudness': -4.627, 'mode': 1, 'speechiness': 0.0771, 'acousticness': 0.09, 'instrumentalness': 0, 'liveness': 0.0741, 'valence': 0.629, 'tempo': 152.051, 'type': 'audio_features', 'id': '6Tv0CGfc6KKJf2SR91GTfS', 'uri': 'spotify:track:6Tv0CGfc6KKJf2SR91GTfS', 'track_href': 'https://api.spotify.com/v1/tracks/6Tv0CGfc6KKJf2SR91GTfS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Tv0CGfc6KKJf2SR91GTfS', 'duration_ms': 164211, 'time_signature': 4}"
Bran Van 3000,Afrodiziak,"{'danceability': 0.759, 'energy': 0.794, 'key': 10, 'loudness': -5.594, 'mode': 0, 'speechiness': 0.197, 'acousticness': 0.0416, 'instrumentalness': 0.000147, 'liveness': 0.0801, 'valence': 0.658, 'tempo': 93.485, 'type': 'audio_features', 'id': '2TY9MWNZJ3s78XvOlEBTji', 'uri': 'spotify:track:2TY9MWNZJ3s78XvOlEBTji', 'track_href': 'https://api.spotify.com/v1/tracks/2TY9MWNZJ3s78XvOlEBTji', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2TY9MWNZJ3s78XvOlEBTji', 'duration_ms': 278773, 'time_signature': 4}"
Richie Spice,Youth Dem Cold,"{'danceability': 0.73, 'energy': 0.706, 'key': 8, 'loudness': -6.04, 'mode': 0, 'speechiness': 0.325, 'acousticness': 0.0299, 'instrumentalness': 0, 'liveness': 0.383, 'valence': 0.83, 'tempo': 79.694, 'type': 'audio_features', 'id': '44NFd0LGevT1cxH8BoPZSP', 'uri': 'spotify:track:44NFd0LGevT1cxH8BoPZSP', 'track_href': 'https://api.spotify.com/v1/tracks/44NFd0LGevT1cxH8BoPZSP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/44NFd0LGevT1cxH8BoPZSP', 'duration_ms': 224453, 'time_signature': 4}"
Chinese Man,Saudade,"{'danceability': 0.625, 'energy': 0.553, 'key': 8, 'loudness': -9.483, 'mode': 0, 'speechiness': 0.0378, 'acousticness': 0.0396, 'instrumentalness': 0.0532, 'liveness': 0.139, 'valence': 0.331, 'tempo': 140.015, 'type': 'audio_features', 'id': '0FCkSS3ai4slPIvoOfu6yO', 'uri': 'spotify:track:0FCkSS3ai4slPIvoOfu6yO', 'track_href': 'https://api.spotify.com/v1/tracks/0FCkSS3ai4slPIvoOfu6yO', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0FCkSS3ai4slPIvoOfu6yO', 'duration_ms': 290692, 'time_signature': 4}"
Al Green,Let's Stay Together,"{'danceability': 0.746, 'energy': 0.273, 'key': 5, 'loudness': -16.63, 'mode': 1, 'speechiness': 0.0573, 'acousticness': 0.606, 'instrumentalness': 0.0168, 'liveness': 0.0526, 'valence': 0.502, 'tempo': 101.952, 'type': 'audio_features', 'id': '7kWhdmRYv8CqbWNqfojqVd', 'uri': 'spotify:track:7kWhdmRYv8CqbWNqfojqVd', 'track_href': 'https://api.spotify.com/v1/tracks/7kWhdmRYv8CqbWNqfojqVd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7kWhdmRYv8CqbWNqfojqVd', 'duration_ms': 199400, 'time_signature': 4}"
Kern Koppen,Lulu Eiland,"{'danceability': 0.333, 'energy': 0.834, 'key': 4, 'loudness': -9.076, 'mode': 1, 'speechiness': 0.223, 'acousticness': 0.675, 'instrumentalness': 0.778, 'liveness': 0.487, 'valence': 0.127, 'tempo': 72.411, 'type': 'audio_features', 'id': '0VAFMyW6EXtZllWBnmKbSN', 'uri': 'spotify:track:0VAFMyW6EXtZllWBnmKbSN', 'track_href': 'https://api.spotify.com/v1/tracks/0VAFMyW6EXtZllWBnmKbSN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0VAFMyW6EXtZllWBnmKbSN', 'duration_ms': 360444, 'time_signature': 4}"
The Specials,Nelson Mandela - 2002 Remastered Version,"{'danceability': 0.658, 'energy': 0.847, 'key': 0, 'loudness': -6.04, 'mode': 1, 'speechiness': 0.0598, 'acousticness': 0.0954, 'instrumentalness': 0.036, 'liveness': 0.273, 'valence': 0.779, 'tempo': 127.092, 'type': 'audio_features', 'id': '57mY4qUaUegA3jvoyoz7oT', 'uri': 'spotify:track:57mY4qUaUegA3jvoyoz7oT', 'track_href': 'https://api.spotify.com/v1/tracks/57mY4qUaUegA3jvoyoz7oT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/57mY4qUaUegA3jvoyoz7oT', 'duration_ms': 257320, 'time_signature': 4}"
Urban Heroes,Habadabariwikidi (The Lovehopper),"{'danceability': 0.466, 'energy': 0.688, 'key': 9, 'loudness': -10.527, 'mode': 1, 'speechiness': 0.0621, 'acousticness': 0.0233, 'instrumentalness': 1.48e-05, 'liveness': 0.179, 'valence': 0.964, 'tempo': 174.191, 'type': 'audio_features', 'id': '7b9r5votRwq8QYOXSUUwfQ', 'uri': 'spotify:track:7b9r5votRwq8QYOXSUUwfQ', 'track_href': 'https://api.spotify.com/v1/tracks/7b9r5votRwq8QYOXSUUwfQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7b9r5votRwq8QYOXSUUwfQ', 'duration_ms': 182693, 'time_signature': 4}"
The Treble Spankers,Diamond Head,"{'danceability': 0.499, 'energy': 0.69, 'key': 9, 'loudness': -8.156, 'mode': 0, 'speechiness': 0.0277, 'acousticness': 0.00766, 'instrumentalness': 0.112, 'liveness': 0.33, 'valence': 0.912, 'tempo': 148.393, 'type': 'audio_features', 'id': '0R86LncvIGAt5299oZsfmp', 'uri': 'spotify:track:0R86LncvIGAt5299oZsfmp', 'track_href': 'https://api.spotify.com/v1/tracks/0R86LncvIGAt5299oZsfmp', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0R86LncvIGAt5299oZsfmp', 'duration_ms': 120883, 'time_signature': 4}"
Cass McCombs,Run Sister Run,"{'danceability': 0.754, 'energy': 0.534, 'key': 11, 'loudness': -8.932, 'mode': 1, 'speechiness': 0.213, 'acousticness': 0.317, 'instrumentalness': 0.162, 'liveness': 0.163, 'valence': 0.498, 'tempo': 97.113, 'type': 'audio_features', 'id': '1Ll36rj3jqbmRVSc3g1RAM', 'uri': 'spotify:track:1Ll36rj3jqbmRVSc3g1RAM', 'track_href': 'https://api.spotify.com/v1/tracks/1Ll36rj3jqbmRVSc3g1RAM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1Ll36rj3jqbmRVSc3g1RAM', 'duration_ms': 351693, 'time_signature': 4}"
Jimi Jules,Too Young For Me,"{'danceability': 0.792, 'energy': 0.568, 'key': 11, 'loudness': -9.142, 'mode': 1, 'speechiness': 0.0456, 'acousticness': 0.325, 'instrumentalness': 0.438, 'liveness': 0.083, 'valence': 0.244, 'tempo': 103.981, 'type': 'audio_features', 'id': '1ZPc6TYeCaeSgu8W8bV5jD', 'uri': 'spotify:track:1ZPc6TYeCaeSgu8W8bV5jD', 'track_href': 'https://api.spotify.com/v1/tracks/1ZPc6TYeCaeSgu8W8bV5jD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1ZPc6TYeCaeSgu8W8bV5jD', 'duration_ms': 264675, 'time_signature': 4}"
Prace,Faeded - Dub,"{'danceability': 0.696, 'energy': 0.792, 'key': 6, 'loudness': -8.568, 'mode': 1, 'speechiness': 0.0564, 'acousticness': 0.0743, 'instrumentalness': 0.914, 'liveness': 0.474, 'valence': 0.698, 'tempo': 109.257, 'type': 'audio_features', 'id': '75xnyitqdY8A3JyTZxQKxc', 'uri': 'spotify:track:75xnyitqdY8A3JyTZxQKxc', 'track_href': 'https://api.spotify.com/v1/tracks/75xnyitqdY8A3JyTZxQKxc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/75xnyitqdY8A3JyTZxQKxc', 'duration_ms': 200101, 'time_signature': 4}"
James Taylor,One Man Parade,"{'danceability': 0.817, 'energy': 0.297, 'key': 0, 'loudness': -14.13, 'mode': 1, 'speechiness': 0.0383, 'acousticness': 0.818, 'instrumentalness': 0.00108, 'liveness': 0.139, 'valence': 0.913, 'tempo': 124.167, 'type': 'audio_features', 'id': '5z3uleqWZt08aY3p8u9sIc', 'uri': 'spotify:track:5z3uleqWZt08aY3p8u9sIc', 'track_href': 'https://api.spotify.com/v1/tracks/5z3uleqWZt08aY3p8u9sIc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5z3uleqWZt08aY3p8u9sIc', 'duration_ms': 191467, 'time_signature': 4}"
Tom Misch,Watch Me Dance,"{'danceability': 0.771, 'energy': 0.29, 'key': 10, 'loudness': -13.413, 'mode': 0, 'speechiness': 0.0341, 'acousticness': 0.323, 'instrumentalness': 0.0316, 'liveness': 0.0645, 'valence': 0.192, 'tempo': 118.003, 'type': 'audio_features', 'id': '4vELW2hK9eb9R7Q0BNJ3Vh', 'uri': 'spotify:track:4vELW2hK9eb9R7Q0BNJ3Vh', 'track_href': 'https://api.spotify.com/v1/tracks/4vELW2hK9eb9R7Q0BNJ3Vh', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4vELW2hK9eb9R7Q0BNJ3Vh', 'duration_ms': 303586, 'time_signature': 4}"
Eels,Efils' God,"{'danceability': 0.558, 'energy': 0.269, 'key': 11, 'loudness': -13.396, 'mode': 0, 'speechiness': 0.193, 'acousticness': 0.427, 'instrumentalness': 0.785, 'liveness': 0.107, 'valence': 0.58, 'tempo': 101.942, 'type': 'audio_features', 'id': '5nt968onvYmCg8H1ckWEKH', 'uri': 'spotify:track:5nt968onvYmCg8H1ckWEKH', 'track_href': 'https://api.spotify.com/v1/tracks/5nt968onvYmCg8H1ckWEKH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5nt968onvYmCg8H1ckWEKH', 'duration_ms': 199600, 'time_signature': 4}"
Amos Lee,Shout Out Loud,"{'danceability': 0.564, 'energy': 0.645, 'key': 7, 'loudness': -7.106, 'mode': 1, 'speechiness': 0.0265, 'acousticness': 0.0563, 'instrumentalness': 0.0119, 'liveness': 0.107, 'valence': 0.447, 'tempo': 77.213, 'type': 'audio_features', 'id': '6cDAuJu8XORfSZ9JNL2Ymx', 'uri': 'spotify:track:6cDAuJu8XORfSZ9JNL2Ymx', 'track_href': 'https://api.spotify.com/v1/tracks/6cDAuJu8XORfSZ9JNL2Ymx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6cDAuJu8XORfSZ9JNL2Ymx', 'duration_ms': 230773, 'time_signature': 4}"
Kevin Morby,Beautiful Strangers,"{'danceability': 0.826, 'energy': 0.423, 'key': 4, 'loudness': -11.127, 'mode': 1, 'speechiness': 0.0445, 'acousticness': 0.762, 'instrumentalness': 0.0689, 'liveness': 0.105, 'valence': 0.891, 'tempo': 100.042, 'type': 'audio_features', 'id': '0prVUHQu2xr6pI5iEbKtxo', 'uri': 'spotify:track:0prVUHQu2xr6pI5iEbKtxo', 'track_href': 'https://api.spotify.com/v1/tracks/0prVUHQu2xr6pI5iEbKtxo', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0prVUHQu2xr6pI5iEbKtxo', 'duration_ms': 375903, 'time_signature': 4}"
The Specials,Rude Boys Outa Jail,"{'danceability': 0.58, 'energy': 0.829, 'key': 0, 'loudness': -8.739, 'mode': 1, 'speechiness': 0.03, 'acousticness': 0.36, 'instrumentalness': 2.52e-05, 'liveness': 0.358, 'valence': 0.971, 'tempo': 145.402, 'type': 'audio_features', 'id': '3BC1w99O2lRvpZNYCIhpCP', 'uri': 'spotify:track:3BC1w99O2lRvpZNYCIhpCP', 'track_href': 'https://api.spotify.com/v1/tracks/3BC1w99O2lRvpZNYCIhpCP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3BC1w99O2lRvpZNYCIhpCP', 'duration_ms': 160653, 'time_signature': 4}"
