title,artist,url,features
I'm Glad,Captain Beefheart & His Magic Band,https://open.spotify.com/track/6vcF9napv3kwm8rSb4O2si,
Hair Pie: Bake 1,Captain Beefheart & His Magic Band,https://open.spotify.com/track/1e9iQr5onjN9PSzC5rHizs,
Her Eyes Are a Blue Million Miles,Captain Beefheart & His Magic Band,https://open.spotify.com/track/6fJSEk0GDtPOk3gFxcnbUy,
The Blimp (Mousetrapreplica),Captain Beefheart & His Magic Band,https://open.spotify.com/track/0cMX2bwkAyJ8j3FpFhtjhw,
Too Much Time,Captain Beefheart & His Magic Band,https://open.spotify.com/track/1TzUVJVzOPkX5i8BpoAiu4,
Diddy Wah Diddy,Captain Beefheart & His Magic Band,https://open.spotify.com/track/7tWQKJnPrHVxB6MnoBivgb,
"Sure 'Nuff 'n' Yes, I Do",Captain Beefheart & His Magic Band,https://open.spotify.com/track/0u7nB1PFBfGdKh8TrwRilH,
Frownland,Captain Beefheart & His Magic Band,https://open.spotify.com/track/6Hg66pZCARudwcPYbiXkrG,
Zig Zag Wanderer,Captain Beefheart & His Magic Band,https://open.spotify.com/track/1F7euzYeo32NncoyEBo63v,
Tropical Hot Dog,Captain Beefheart & His Magic Band,https://open.spotify.com/track/7ouxNvIjP3xb0Z911OLHPC,
Superlative Heroes,Superlatives,https://open.spotify.com/track/6kOvq3AnVsMCRSSr2VV5P9,
Way Out West,Superlatives,https://open.spotify.com/track/5Nr59BVUdfkVi591cj20qi,
Superlative - Radio Edit,Superlatives,https://open.spotify.com/track/3fabG8Gb66oMVfS01adMQ6,
Country Star,Superlatives,https://open.spotify.com/track/0ZesYm9KhuCthYX8No6eMs,
Superlative - Original mix,Superlatives,https://open.spotify.com/track/6B37oR00gpI6jDGCamFXTm,
Whole Lotta Highway (With A Million Miles to Go),Superlatives,https://open.spotify.com/track/1rh6izHbVmudK0tWaPMoxQ,
Superlative High,Superlatives,https://open.spotify.com/track/0CioKVwyUtQ3f3kMLUISIj,
I Can't Even Walk (Without You Holding My Hand),Superlatives,https://open.spotify.com/track/3daUXIj4BiEe0GwCIFy0Ol,
Superlativ,Superlatives,https://open.spotify.com/track/47TtSNiCfEPdzje0vGcjND,
Superlative Moods for Doggy Nap Spaces,Superlatives,https://open.spotify.com/track/3OZhAGzOVqoE1DG7eOSTxA,
Bloodwork,Steve Tibbetts,https://open.spotify.com/track/3iCvLAdsFiqlnusTzGSG64,
Black Mountain Side,Steve Tibbetts,https://open.spotify.com/track/5WCNjO6Kk0Yna37CAJKlqy,
Sitavana,Steve Tibbetts,https://open.spotify.com/track/6cvPcL5mGWNac2tjPMGJtF,
Climbing,Steve Tibbetts,https://open.spotify.com/track/3kz6NAOACWLOUKYTQVvFkN,
Padmakara,Steve Tibbetts,https://open.spotify.com/track/3MTvITBTgK00WgZ2xtwSQS,
Life Of Emily,Steve Tibbetts,https://open.spotify.com/track/3LTPFZ0gT1NgNCjODWZ8OO,
Life Of Someone,Steve Tibbetts,https://open.spotify.com/track/5Rp4K9wV3NMoYUnjjLtz0P,
Form,Steve Tibbetts,https://open.spotify.com/track/6Ed4LGeap73XUhqB8blZVG,
Chenrezi,Steve Tibbetts,https://open.spotify.com/track/289edWY0rhqepKww3olR8m,
Formless,Steve Tibbetts,https://open.spotify.com/track/7CCqMGPz4DPZ6sjSmLh8Xa,
Delired Cameleon Family,Delired Cameleon Family,https://open.spotify.com/track/4WpScvpPwX2XcuPKJF15aU,
Ananta,Delired Cameleon Family,https://open.spotify.com/track/3ukEIo3Y4ewK7Hwjmw8pI7,
Le boeuf,Delired Cameleon Family,https://open.spotify.com/track/6jbZIu6POLVFrkJN2cm7Eu,
La fin du début,Delired Cameleon Family,https://open.spotify.com/track/72lFty1vtCcLUOt03W2Uw8,
Novavanna,Delired Cameleon Family,https://open.spotify.com/track/4NlsqL7Fzkuu7do5GIUblc,
Weird Ceremony,Delired Cameleon Family,https://open.spotify.com/track/7ttClzjVWjikdgVlY54IZU,
Fairy Tale - Analog Remaster,Delired Cameleon Family,https://open.spotify.com/track/5vTLvhBBZn0t3uZOYpmWqd,
Forest Spirit,Delired Cameleon Family,https://open.spotify.com/track/5KxWYjy5CR43hyUdNAiOV8,
