title,artist,url,features
Superlative Heroes,Superlatives,https://open.spotify.com/track/6kOvq3AnVsMCRSSr2VV5P9,"{'danceability': 0.694, 'energy': 0.603, 'key': 0, 'loudness': -12.05, 'mode': 1, 'speechiness': 0.246, 'acousticness': 0.577, 'instrumentalness': 0, 'liveness': 0.159, 'valence': 0.961, 'tempo': 82.966, 'type': 'audio_features', 'id': '6kOvq3AnVsMCRSSr2VV5P9', 'uri': 'spotify:track:6kOvq3AnVsMCRSSr2VV5P9', 'track_href': 'https://api.spotify.com/v1/tracks/6kOvq3AnVsMCRSSr2VV5P9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6kOvq3AnVsMCRSSr2VV5P9', 'duration_ms': 133815, 'time_signature': 4}"
Way Out West,Superlatives,https://open.spotify.com/track/5Nr59BVUdfkVi591cj20qi,"{'danceability': 0.615, 'energy': 0.216, 'key': 11, 'loudness': -17.639, 'mode': 1, 'speechiness': 0.0501, 'acousticness': 0.459, 'instrumentalness': 0.0806, 'liveness': 0.0871, 'valence': 0.374, 'tempo': 102.309, 'type': 'audio_features', 'id': '5Nr59BVUdfkVi591cj20qi', 'uri': 'spotify:track:5Nr59BVUdfkVi591cj20qi', 'track_href': 'https://api.spotify.com/v1/tracks/5Nr59BVUdfkVi591cj20qi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5Nr59BVUdfkVi591cj20qi', 'duration_ms': 341027, 'time_signature': 4}"
Superlative - Radio Edit,Superlatives,https://open.spotify.com/track/3fabG8Gb66oMVfS01adMQ6,"{'danceability': 0.804, 'energy': 0.664, 'key': 2, 'loudness': -12.865, 'mode': 1, 'speechiness': 0.0621, 'acousticness': 0.000118, 'instrumentalness': 0.866, 'liveness': 0.0773, 'valence': 0.77, 'tempo': 125.0, 'type': 'audio_features', 'id': '3fabG8Gb66oMVfS01adMQ6', 'uri': 'spotify:track:3fabG8Gb66oMVfS01adMQ6', 'track_href': 'https://api.spotify.com/v1/tracks/3fabG8Gb66oMVfS01adMQ6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3fabG8Gb66oMVfS01adMQ6', 'duration_ms': 109440, 'time_signature': 4}"
Country Star,Superlatives,https://open.spotify.com/track/0ZesYm9KhuCthYX8No6eMs,"{'danceability': 0.517, 'energy': 0.923, 'key': 7, 'loudness': -5.805, 'mode': 1, 'speechiness': 0.0566, 'acousticness': 0.0268, 'instrumentalness': 0, 'liveness': 0.175, 'valence': 0.383, 'tempo': 144.33, 'type': 'audio_features', 'id': '0ZesYm9KhuCthYX8No6eMs', 'uri': 'spotify:track:0ZesYm9KhuCthYX8No6eMs', 'track_href': 'https://api.spotify.com/v1/tracks/0ZesYm9KhuCthYX8No6eMs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0ZesYm9KhuCthYX8No6eMs', 'duration_ms': 185709, 'time_signature': 4}"
Superlative - Original mix,Superlatives,https://open.spotify.com/track/6B37oR00gpI6jDGCamFXTm,"{'danceability': 0.802, 'energy': 0.629, 'key': 6, 'loudness': -12.885, 'mode': 0, 'speechiness': 0.0661, 'acousticness': 9.64e-05, 'instrumentalness': 0.906, 'liveness': 0.125, 'valence': 0.754, 'tempo': 125.008, 'type': 'audio_features', 'id': '6B37oR00gpI6jDGCamFXTm', 'uri': 'spotify:track:6B37oR00gpI6jDGCamFXTm', 'track_href': 'https://api.spotify.com/v1/tracks/6B37oR00gpI6jDGCamFXTm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6B37oR00gpI6jDGCamFXTm', 'duration_ms': 140160, 'time_signature': 4}"
Whole Lotta Highway (With A Million Miles to Go),Superlatives,https://open.spotify.com/track/1rh6izHbVmudK0tWaPMoxQ,"{'danceability': 0.551, 'energy': 0.593, 'key': 9, 'loudness': -13.309, 'mode': 1, 'speechiness': 0.0302, 'acousticness': 0.0947, 'instrumentalness': 0.000323, 'liveness': 0.166, 'valence': 0.838, 'tempo': 129.815, 'type': 'audio_features', 'id': '1rh6izHbVmudK0tWaPMoxQ', 'uri': 'spotify:track:1rh6izHbVmudK0tWaPMoxQ', 'track_href': 'https://api.spotify.com/v1/tracks/1rh6izHbVmudK0tWaPMoxQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1rh6izHbVmudK0tWaPMoxQ', 'duration_ms': 198840, 'time_signature': 4}"
Superlative High,Superlatives,https://open.spotify.com/track/0CioKVwyUtQ3f3kMLUISIj,"{'danceability': 0.58, 'energy': 0.355, 'key': 1, 'loudness': -16.473, 'mode': 1, 'speechiness': 0.219, 'acousticness': 0.123, 'instrumentalness': 0.094, 'liveness': 0.147, 'valence': 0.297, 'tempo': 34.921, 'type': 'audio_features', 'id': '0CioKVwyUtQ3f3kMLUISIj', 'uri': 'spotify:track:0CioKVwyUtQ3f3kMLUISIj', 'track_href': 'https://api.spotify.com/v1/tracks/0CioKVwyUtQ3f3kMLUISIj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0CioKVwyUtQ3f3kMLUISIj', 'duration_ms': 96102, 'time_signature': 3}"
I Can't Even Walk (Without You Holding My Hand),Superlatives,https://open.spotify.com/track/3daUXIj4BiEe0GwCIFy0Ol,"{'danceability': 0.276, 'energy': 0.266, 'key': 8, 'loudness': -11.836, 'mode': 1, 'speechiness': 0.0342, 'acousticness': 0.707, 'instrumentalness': 0, 'liveness': 0.0935, 'valence': 0.207, 'tempo': 76.194, 'type': 'audio_features', 'id': '3daUXIj4BiEe0GwCIFy0Ol', 'uri': 'spotify:track:3daUXIj4BiEe0GwCIFy0Ol', 'track_href': 'https://api.spotify.com/v1/tracks/3daUXIj4BiEe0GwCIFy0Ol', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3daUXIj4BiEe0GwCIFy0Ol', 'duration_ms': 233387, 'time_signature': 3}"
Superlativ,Superlatives,https://open.spotify.com/track/47TtSNiCfEPdzje0vGcjND,"{'danceability': 0.732, 'energy': 0.876, 'key': 10, 'loudness': -4.944, 'mode': 0, 'speechiness': 0.0615, 'acousticness': 0.0242, 'instrumentalness': 0.714, 'liveness': 0.0672, 'valence': 0.703, 'tempo': 135.004, 'type': 'audio_features', 'id': '47TtSNiCfEPdzje0vGcjND', 'uri': 'spotify:track:47TtSNiCfEPdzje0vGcjND', 'track_href': 'https://api.spotify.com/v1/tracks/47TtSNiCfEPdzje0vGcjND', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/47TtSNiCfEPdzje0vGcjND', 'duration_ms': 231111, 'time_signature': 4}"
Superlative Moods for Doggy Nap Spaces,Superlatives,https://open.spotify.com/track/3OZhAGzOVqoE1DG7eOSTxA,"{'danceability': 0.717, 'energy': 0.248, 'key': 8, 'loudness': -13.191, 'mode': 1, 'speechiness': 0.0416, 'acousticness': 0.99, 'instrumentalness': 0.911, 'liveness': 0.105, 'valence': 0.648, 'tempo': 87.065, 'type': 'audio_features', 'id': '3OZhAGzOVqoE1DG7eOSTxA', 'uri': 'spotify:track:3OZhAGzOVqoE1DG7eOSTxA', 'track_href': 'https://api.spotify.com/v1/tracks/3OZhAGzOVqoE1DG7eOSTxA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3OZhAGzOVqoE1DG7eOSTxA', 'duration_ms': 110350, 'time_signature': 4}"
Bloodwork,Steve Tibbetts,https://open.spotify.com/track/3iCvLAdsFiqlnusTzGSG64,"{'danceability': 0.326, 'energy': 0.0945, 'key': 0, 'loudness': -26.768, 'mode': 1, 'speechiness': 0.046, 'acousticness': 0.98, 'instrumentalness': 0.87, 'liveness': 0.366, 'valence': 0.291, 'tempo': 99.269, 'type': 'audio_features', 'id': '3iCvLAdsFiqlnusTzGSG64', 'uri': 'spotify:track:3iCvLAdsFiqlnusTzGSG64', 'track_href': 'https://api.spotify.com/v1/tracks/3iCvLAdsFiqlnusTzGSG64', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3iCvLAdsFiqlnusTzGSG64', 'duration_ms': 99400, 'time_signature': 3}"
Black Mountain Side,Steve Tibbetts,https://open.spotify.com/track/5WCNjO6Kk0Yna37CAJKlqy,"{'danceability': 0.627, 'energy': 0.258, 'key': 6, 'loudness': -17.14, 'mode': 1, 'speechiness': 0.0725, 'acousticness': 0.87, 'instrumentalness': 0.909, 'liveness': 0.151, 'valence': 0.498, 'tempo': 123.621, 'type': 'audio_features', 'id': '5WCNjO6Kk0Yna37CAJKlqy', 'uri': 'spotify:track:5WCNjO6Kk0Yna37CAJKlqy', 'track_href': 'https://api.spotify.com/v1/tracks/5WCNjO6Kk0Yna37CAJKlqy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5WCNjO6Kk0Yna37CAJKlqy', 'duration_ms': 176973, 'time_signature': 4}"
Sitavana,Steve Tibbetts,https://open.spotify.com/track/6cvPcL5mGWNac2tjPMGJtF,"{'danceability': 0.539, 'energy': 0.102, 'key': 2, 'loudness': -24.932, 'mode': 0, 'speechiness': 0.044, 'acousticness': 0.971, 'instrumentalness': 0.79, 'liveness': 0.101, 'valence': 0.568, 'tempo': 125.99, 'type': 'audio_features', 'id': '6cvPcL5mGWNac2tjPMGJtF', 'uri': 'spotify:track:6cvPcL5mGWNac2tjPMGJtF', 'track_href': 'https://api.spotify.com/v1/tracks/6cvPcL5mGWNac2tjPMGJtF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6cvPcL5mGWNac2tjPMGJtF', 'duration_ms': 89227, 'time_signature': 4}"
Climbing,Steve Tibbetts,https://open.spotify.com/track/3kz6NAOACWLOUKYTQVvFkN,"{'danceability': 0.618, 'energy': 0.262, 'key': 9, 'loudness': -24.976, 'mode': 0, 'speechiness': 0.141, 'acousticness': 0.82, 'instrumentalness': 0.866, 'liveness': 0.107, 'valence': 0.0382, 'tempo': 180.913, 'type': 'audio_features', 'id': '3kz6NAOACWLOUKYTQVvFkN', 'uri': 'spotify:track:3kz6NAOACWLOUKYTQVvFkN', 'track_href': 'https://api.spotify.com/v1/tracks/3kz6NAOACWLOUKYTQVvFkN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3kz6NAOACWLOUKYTQVvFkN', 'duration_ms': 237333, 'time_signature': 3}"
Padmakara,Steve Tibbetts,https://open.spotify.com/track/3MTvITBTgK00WgZ2xtwSQS,"{'danceability': 0.267, 'energy': 0.0346, 'key': 9, 'loudness': -21.59, 'mode': 0, 'speechiness': 0.0514, 'acousticness': 0.898, 'instrumentalness': 0, 'liveness': 0.101, 'valence': 0.0798, 'tempo': 119.572, 'type': 'audio_features', 'id': '3MTvITBTgK00WgZ2xtwSQS', 'uri': 'spotify:track:3MTvITBTgK00WgZ2xtwSQS', 'track_href': 'https://api.spotify.com/v1/tracks/3MTvITBTgK00WgZ2xtwSQS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3MTvITBTgK00WgZ2xtwSQS', 'duration_ms': 79827, 'time_signature': 4}"
Life Of Emily,Steve Tibbetts,https://open.spotify.com/track/3LTPFZ0gT1NgNCjODWZ8OO,"{'danceability': 0.372, 'energy': 0.13, 'key': 2, 'loudness': -26.28, 'mode': 0, 'speechiness': 0.0424, 'acousticness': 0.967, 'instrumentalness': 0.934, 'liveness': 0.0923, 'valence': 0.0957, 'tempo': 113.497, 'type': 'audio_features', 'id': '3LTPFZ0gT1NgNCjODWZ8OO', 'uri': 'spotify:track:3LTPFZ0gT1NgNCjODWZ8OO', 'track_href': 'https://api.spotify.com/v1/tracks/3LTPFZ0gT1NgNCjODWZ8OO', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3LTPFZ0gT1NgNCjODWZ8OO', 'duration_ms': 133840, 'time_signature': 4}"
Life Of Someone,Steve Tibbetts,https://open.spotify.com/track/5Rp4K9wV3NMoYUnjjLtz0P,"{'danceability': 0.401, 'energy': 0.0212, 'key': 7, 'loudness': -28.151, 'mode': 1, 'speechiness': 0.0426, 'acousticness': 0.96, 'instrumentalness': 0.295, 'liveness': 0.102, 'valence': 0.339, 'tempo': 132.417, 'type': 'audio_features', 'id': '5Rp4K9wV3NMoYUnjjLtz0P', 'uri': 'spotify:track:5Rp4K9wV3NMoYUnjjLtz0P', 'track_href': 'https://api.spotify.com/v1/tracks/5Rp4K9wV3NMoYUnjjLtz0P', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5Rp4K9wV3NMoYUnjjLtz0P', 'duration_ms': 150280, 'time_signature': 4}"
Form,Steve Tibbetts,https://open.spotify.com/track/6Ed4LGeap73XUhqB8blZVG,"{'danceability': 0.419, 'energy': 0.0681, 'key': 6, 'loudness': -28.264, 'mode': 1, 'speechiness': 0.047, 'acousticness': 0.809, 'instrumentalness': 0.797, 'liveness': 0.082, 'valence': 0.0914, 'tempo': 99.943, 'type': 'audio_features', 'id': '6Ed4LGeap73XUhqB8blZVG', 'uri': 'spotify:track:6Ed4LGeap73XUhqB8blZVG', 'track_href': 'https://api.spotify.com/v1/tracks/6Ed4LGeap73XUhqB8blZVG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Ed4LGeap73XUhqB8blZVG', 'duration_ms': 440947, 'time_signature': 4}"
Chenrezi,Steve Tibbetts,https://open.spotify.com/track/289edWY0rhqepKww3olR8m,"{'danceability': 0.207, 'energy': 0.0228, 'key': 11, 'loudness': -21.804, 'mode': 0, 'speechiness': 0.0394, 'acousticness': 0.963, 'instrumentalness': 0.0909, 'liveness': 0.1, 'valence': 0.0787, 'tempo': 112.093, 'type': 'audio_features', 'id': '289edWY0rhqepKww3olR8m', 'uri': 'spotify:track:289edWY0rhqepKww3olR8m', 'track_href': 'https://api.spotify.com/v1/tracks/289edWY0rhqepKww3olR8m', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/289edWY0rhqepKww3olR8m', 'duration_ms': 204400, 'time_signature': 5}"
Formless,Steve Tibbetts,https://open.spotify.com/track/7CCqMGPz4DPZ6sjSmLh8Xa,"{'danceability': 0.545, 'energy': 0.0425, 'key': 7, 'loudness': -29.967, 'mode': 1, 'speechiness': 0.0484, 'acousticness': 0.937, 'instrumentalness': 0.765, 'liveness': 0.11, 'valence': 0.109, 'tempo': 127.316, 'type': 'audio_features', 'id': '7CCqMGPz4DPZ6sjSmLh8Xa', 'uri': 'spotify:track:7CCqMGPz4DPZ6sjSmLh8Xa', 'track_href': 'https://api.spotify.com/v1/tracks/7CCqMGPz4DPZ6sjSmLh8Xa', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7CCqMGPz4DPZ6sjSmLh8Xa', 'duration_ms': 169600, 'time_signature': 4}"
Delired Cameleon Family,Delired Cameleon Family,https://open.spotify.com/track/4WpScvpPwX2XcuPKJF15aU,"{'danceability': 0.256, 'energy': 0.586, 'key': 10, 'loudness': -9.349, 'mode': 0, 'speechiness': 0.042, 'acousticness': 0.0705, 'instrumentalness': 0.00211, 'liveness': 0.079, 'valence': 0.0358, 'tempo': 125.228, 'type': 'audio_features', 'id': '4WpScvpPwX2XcuPKJF15aU', 'uri': 'spotify:track:4WpScvpPwX2XcuPKJF15aU', 'track_href': 'https://api.spotify.com/v1/tracks/4WpScvpPwX2XcuPKJF15aU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4WpScvpPwX2XcuPKJF15aU', 'duration_ms': 408693, 'time_signature': 3}"
Ananta,Delired Cameleon Family,https://open.spotify.com/track/3ukEIo3Y4ewK7Hwjmw8pI7,"{'danceability': 0.304, 'energy': 0.758, 'key': 10, 'loudness': -14.807, 'mode': 0, 'speechiness': 0.0558, 'acousticness': 0.267, 'instrumentalness': 0.906, 'liveness': 0.109, 'valence': 0.287, 'tempo': 165.158, 'type': 'audio_features', 'id': '3ukEIo3Y4ewK7Hwjmw8pI7', 'uri': 'spotify:track:3ukEIo3Y4ewK7Hwjmw8pI7', 'track_href': 'https://api.spotify.com/v1/tracks/3ukEIo3Y4ewK7Hwjmw8pI7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3ukEIo3Y4ewK7Hwjmw8pI7', 'duration_ms': 582840, 'time_signature': 3}"
Le boeuf,Delired Cameleon Family,https://open.spotify.com/track/6jbZIu6POLVFrkJN2cm7Eu,"{'danceability': 0.322, 'energy': 0.694, 'key': 2, 'loudness': -9.879, 'mode': 0, 'speechiness': 0.102, 'acousticness': 0.197, 'instrumentalness': 0.0128, 'liveness': 0.0917, 'valence': 0.544, 'tempo': 162.625, 'type': 'audio_features', 'id': '6jbZIu6POLVFrkJN2cm7Eu', 'uri': 'spotify:track:6jbZIu6POLVFrkJN2cm7Eu', 'track_href': 'https://api.spotify.com/v1/tracks/6jbZIu6POLVFrkJN2cm7Eu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6jbZIu6POLVFrkJN2cm7Eu', 'duration_ms': 519427, 'time_signature': 1}"
La fin du début,Delired Cameleon Family,https://open.spotify.com/track/72lFty1vtCcLUOt03W2Uw8,"{'danceability': 0.308, 'energy': 0.487, 'key': 5, 'loudness': -10.395, 'mode': 1, 'speechiness': 0.0825, 'acousticness': 0.89, 'instrumentalness': 2.81e-05, 'liveness': 0.317, 'valence': 0.126, 'tempo': 85.457, 'type': 'audio_features', 'id': '72lFty1vtCcLUOt03W2Uw8', 'uri': 'spotify:track:72lFty1vtCcLUOt03W2Uw8', 'track_href': 'https://api.spotify.com/v1/tracks/72lFty1vtCcLUOt03W2Uw8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/72lFty1vtCcLUOt03W2Uw8', 'duration_ms': 310333, 'time_signature': 4}"
Novavanna,Delired Cameleon Family,https://open.spotify.com/track/4NlsqL7Fzkuu7do5GIUblc,"{'danceability': 0.374, 'energy': 0.685, 'key': 11, 'loudness': -11.412, 'mode': 1, 'speechiness': 0.0423, 'acousticness': 0.133, 'instrumentalness': 0.0767, 'liveness': 0.219, 'valence': 0.447, 'tempo': 133.759, 'type': 'audio_features', 'id': '4NlsqL7Fzkuu7do5GIUblc', 'uri': 'spotify:track:4NlsqL7Fzkuu7do5GIUblc', 'track_href': 'https://api.spotify.com/v1/tracks/4NlsqL7Fzkuu7do5GIUblc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4NlsqL7Fzkuu7do5GIUblc', 'duration_ms': 816813, 'time_signature': 4}"
Weird Ceremony,Delired Cameleon Family,https://open.spotify.com/track/7ttClzjVWjikdgVlY54IZU,"{'danceability': 0.219, 'energy': 0.554, 'key': 10, 'loudness': -13.226, 'mode': 1, 'speechiness': 0.0615, 'acousticness': 0.918, 'instrumentalness': 0.512, 'liveness': 0.0884, 'valence': 0.0746, 'tempo': 94.584, 'type': 'audio_features', 'id': '7ttClzjVWjikdgVlY54IZU', 'uri': 'spotify:track:7ttClzjVWjikdgVlY54IZU', 'track_href': 'https://api.spotify.com/v1/tracks/7ttClzjVWjikdgVlY54IZU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7ttClzjVWjikdgVlY54IZU', 'duration_ms': 264387, 'time_signature': 4}"
Fairy Tale - Analog Remaster,Delired Cameleon Family,https://open.spotify.com/track/5vTLvhBBZn0t3uZOYpmWqd,"{'danceability': 0.753, 'energy': 0.249, 'key': 4, 'loudness': -14.605, 'mode': 0, 'speechiness': 0.213, 'acousticness': 0.925, 'instrumentalness': 0.634, 'liveness': 0.108, 'valence': 0.811, 'tempo': 139.381, 'type': 'audio_features', 'id': '5vTLvhBBZn0t3uZOYpmWqd', 'uri': 'spotify:track:5vTLvhBBZn0t3uZOYpmWqd', 'track_href': 'https://api.spotify.com/v1/tracks/5vTLvhBBZn0t3uZOYpmWqd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5vTLvhBBZn0t3uZOYpmWqd', 'duration_ms': 185693, 'time_signature': 4}"
